1	874 
2	961 
3	830 
4	906 
5	114 
6	889 
7	1147 
8	639 
9	1060 
10	445 
11	342 
12	1065 
13	1057 
14	682 
15	1074 
16	636 
17	232 
18	754 
19	975 
20	588 
21	4 
22	987 
23	233 
24	791 
25	425 
26	686 
27	998 
28	905 
29	185 
30	503 
31	711 
32	886 
33	242 
34	962 
35	281 
36	285 
37	1038 
38	461 
39	97 
40	495 
41	1076 
42	196 
43	1072 
44	1114 
45	596 
46	896 
47	313 
48	5 
49	622 
50	219 
51	1108 
52	1036 
53	599 
54	1101 
55	940 
56	483 
57	1018 
58	773 
59	812 
60	1126 
61	946 
62	123 
63	975 
64	799 
65	736 
66	16 
67	364 
68	107 
69	968 
70	619 
71	894 
72	1022 
73	638 
74	1001 
75	1011 
76	787 
77	1033 
78	107 
79	1099 
80	957 
81	160 
82	237 
83	637 
84	901 
85	577 
86	1003 
87	341 
88	1002 
89	492 
90	1084 
91	1074 
92	899 
93	322 
94	490 
95	634 
96	31 
97	184 
98	451 
99	415 
100	1141 
101	285 
102	350 
103	325 
104	373 
105	148 
106	943 
107	992 
108	693 
109	471 
110	650 
111	604 
112	564 
113	317 
114	819 
115	1130 
116	1148 
117	1097 
118	53 
119	1070 
120	168 
121	772 
122	665 
123	406 
124	665 
125	115 
126	368 
127	123 
128	130 
129	582 
130	894 
131	300 
132	1131 
133	798 
134	1038 
135	1032 
136	894 
137	462 
138	1081 
139	306 
140	470 
141	303 
142	712 
143	780 
144	121 
145	1052 
146	753 
147	751 
148	616 
149	108 
150	1058 
151	1002 
152	506 
153	570 
154	640 
155	270 
156	665 
157	71 
158	458 
159	488 
160	21 
161	395 
162	354 
163	220 
164	707 
165	659 
166	280 
167	49 
168	674 
169	552 
170	84 
171	439 
172	220 
173	1032 
174	475 
175	339 
176	998 
177	606 
178	510 
179	40 
180	316 
181	467 
182	852 
183	595 
184	863 
185	415 
186	128 
187	766 
188	56 
189	477 
190	688 
191	358 
192	993 
193	341 
194	76 
195	604 
196	690 
197	953 
198	488 
199	123 
200	148 
201	559 
202	707 
203	349 
204	550 
205	826 
206	1075 
207	1010 
208	626 
209	523 
210	1106 
211	784 
212	790 
213	1147 
214	32 
215	191 
216	979 
217	906 
218	341 
219	223 
220	107 
221	82 
222	542 
223	26 
224	139 
225	787 
226	597 
227	699 
