in-degree distribution (probability density function of the degree in logarithmic bins) 
4	0.0022399
5	0.191354
6.44094	0.190117
8	0.0532352
9.54464	0.0560263
11.9597	0.0507095
14.9077	0.0217308
18.3582	0.0183118
22.7778	0.00804363
27.1818	0.00803704

in-degree distribution (degree-occurrences) 
4	0.002
5	0.209
6	0.142
7	0.112
8	0.087
9	0.051
10	0.061
11	0.046
12	0.037
13	0.041
14	0.026
15	0.019
16	0.02
17	0.017
18	0.023
19	0.013
20	0.014
21	0.005
22	0.009
23	0.011
24	0.011
25	0.012
26	0.006
27	0.005
28	0.01
29	0.005
30	0.006


--------------------------------------
out-degree distribution (probability density function of the degree in logarithmic bins) 
9	0.153485
10	3.92698
11	0.807293

out-degree distribution (degree-occurrences) 
9	0.028
10	0.792
11	0.18


--------------------------------------
community distribution (size-occurrences)
5	0.141026
6	0.166667
7	0.0641026
8	0.0384615
9	0.0512821
10	0.0641026
12	0.0384615
13	0.0512821
14	0.025641
15	0.0128205
16	0.0512821
17	0.025641
18	0.0128205
19	0.0512821
20	0.025641
21	0.0128205
22	0.025641
23	0.025641
24	0.0128205
25	0.0128205
26	0.0128205
27	0.0128205
28	0.025641
30	0.0384615


--------------------------------------
mixing parameter (in-links)
0.4	0.095
0.428571	0.056
0.444444	0.024
0.459568	0.062
0.476588	0.035
0.5	0.444
0.51991	0.014
0.532993	0.044
0.551383	0.046
0.571429	0.056
0.6	0.116
0.625	0.003
0.666667	0.003
0.75	0.002

--------------------------------------
mixing parameter (out-links)
0	0.006
0.0909091	0.001
0.1	0.012
0.181818	0.001
0.2	0.032
0.272727	0.01
0.3	0.072
0.363636	0.011
0.400373	0.119
0.454545	0.047
0.505026	0.416
0.594682	0.117
0.636364	0.03
0.695062	0.054
0.727273	0.018
0.796581	0.026
0.818182	0.008
0.898611	0.008
0.909091	0.005
1	0.007

--------------------------------------
